method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_topology_baseraw_k8_a24_w0.65,Q1,0.6423909347061935,0.30460909117249246,0.20850331003151212,0.9611494047794095,-0.0063458362605073315,0.004380326560778691
transition_raw_topology_basesubject_k4_a24_w1.00,Q1,0.6424355352997644,0.3046536917660632,0.20722822689688272,0.9552715825246545,-0.006301235666936411,0.004424927154349612
transition_topology_baseedge_shrink025_k8_a24_w0.65,Q1,0.6425027983330502,0.30472095479934913,0.20162604467620093,0.929446888873219,-0.006233972633650553,0.00449219018763547
transition_raw_residual_baseedge_shrink025_k8_a24_w0.35,Q1,0.6425526843086047,0.3047708407749036,0.20581753051091567,0.9487686162576356,-0.006184086658096111,0.004542076163189912
transition_raw_topology_basesubject_k4_a24_w0.35,Q1,0.6426166854866563,0.30483484195295524,0.2107214986628953,0.9713747133484685,-0.0061200854800445015,0.004606077341241521
transition_raw_topology_baseraw_k8_a24_w0.65,Q1,0.6427061812483733,0.3049243377146723,0.2106856401866942,0.9712094145191512,-0.006030589718327484,0.004695573102958539
transition_raw_topology_basesubject_k8_a24_w0.35,Q1,0.6427968517862704,0.3050150082525693,0.2099646071284815,0.9678856279825123,-0.005939919180430353,0.00478624364085567
transition_full_transition_basesubject_k4_a24_w0.35,Q1,0.6428411166725428,0.30505927313884174,0.21145465560578042,0.9747543880364025,-0.005895654294157948,0.0048305085271280745
transition_full_transition_basesubject_k8_a12_w0.35,Q1,0.6429840546681088,0.30520221113440765,0.20769017893621997,0.95740106875477,-0.0057527162985919755,0.004973446522694047
transition_full_transition_basesubject_k8_a24_w0.35,Q1,0.6430274286097162,0.30524558507601507,0.20966671612801185,0.9665124231266888,-0.005709342356984615,0.005016820464301408
transition_full_transition_baseedge_shrink025_k4_a12_w0.65,Q1,0.6430577579227688,0.30527591438906765,0.2037463210621882,0.9392208458720384,-0.005679013043932035,0.0050471497773539875
transition_topology_basesubject_k8_a24_w0.65,Q1,0.6431576633976467,0.3053758198639456,0.20595734803080742,0.9494131409225026,-0.005579107569054109,0.0051470552522319135
transition_topology_baseraw_k4_a4_w0.35,Q1,0.6434246208832022,0.30564277734950107,0.20689186986123634,0.953721058628626,-0.005312150083498612,0.00541401273778741
transition_full_transition_basesubject_k8_a24_w0.65,Q1,0.6437091432736748,0.3059272997399737,0.20755613355691377,0.9567831522501634,-0.005027627693026004,0.005698535128260018
transition_raw_topology_baseedge_shrink025_k4_a12_w0.65,Q1,0.6437814868729677,0.3059996433392666,0.2058099312302079,0.948733585427056,-0.004955284093733137,0.005770878727552886
