source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
cc_recovery__absolute__c0.3_b0.05,0.6267892414832149,0.6726352101707223,0.7016848810747494,0.6758300531734094,0.5759239834197912,0.5786049089988511,0.5378164073256544,0.6450292462193266
cc_load__absolute_plus_deviation__c0.1_b0.2,0.6267945808054833,0.66980258445946,0.7020499253118554,0.6758626540218358,0.5773890238856757,0.5784094805504314,0.5431013364799767,0.6409470609291478
cc_load__absolute_plus_deviation__c0.03_b0.1,0.6267949000473177,0.6715316223384107,0.7021974580253565,0.6759909421530322,0.5764617401014109,0.5784822487716048,0.5384684247667624,0.6444318641746467
cc_arousal__absolute__c0.1_b0.2,0.62680231261099,0.6657908268577268,0.6986995939757068,0.6754625358504013,0.5731914221464219,0.5840289360998859,0.5408086843287981,0.649634189017989
cc_load__deviation__c0.1_b0.2,0.6268056976761656,0.6704558665386429,0.7004783815291165,0.6738842429033512,0.5775969606251179,0.578360000218943,0.5435520853214794,0.6433123465965078
cc_arousal__absolute_plus_deviation__c0.03_b0.1,0.6268477896697535,0.6698786022783136,0.7015202109232905,0.6762525440916748,0.5736950041210171,0.5813035023933543,0.5372721161266709,0.6480125477539536
cc_recovery__absolute__c0.3_b0.2,0.6268515841702847,0.6729861501802091,0.6940368046704865,0.6715044587315482,0.5789609364535563,0.5799041738161368,0.549764797049592,0.6408037682904638
cc_opportunity__absolute__c0.03_b0.05,0.6268526418054111,0.6704812563526849,0.7032174311182585,0.6773014522394557,0.5749888855641785,0.5790200061271417,0.5366154282967909,0.6463440329393674
cc_recovery__deviation__c0.03_b0.05,0.6268542064124605,0.6726920842316887,0.7017345042185693,0.6758979408345572,0.5756061750096351,0.5795073194295917,0.536568356707475,0.6459730644557061
cc_arousal__absolute__c0.3_b0.05,0.6268565813324829,0.6702915775861706,0.7032103542924942,0.6772335787097228,0.5740662268814394,0.5802677857455532,0.5354254152781245,0.6475011308338758
cc_recovery__absolute__c0.1_b0.05,0.6268902489927225,0.6727859624552008,0.7017130220341282,0.6759983990894519,0.575954601242914,0.5789440680436807,0.5375088628420577,0.6453268272416233
cc_load__absolute__c0.03_b0.1,0.6268978489850786,0.6716861895070818,0.7021032686676234,0.6756606010056246,0.5766341613853031,0.5785707029815559,0.5389027973280303,0.6447272220203311
cc_load__absolute__c0.3_b0.05,0.6269025461111887,0.6717814239931615,0.7040271715730806,0.6769935545477099,0.5757045777847267,0.578300111228681,0.5368556954951974,0.6446552881557635
cc_load__deviation__c0.03_b0.1,0.6269049428008014,0.6719022889984934,0.7016108402430195,0.675471812097594,0.5763959120294964,0.5788008211341835,0.5384604444064125,0.6456924806964106
cc_load__deviation__c0.1_b0.05,0.6269057467761822,0.6720173054713338,0.7034247539974573,0.6765422233842227,0.5756944069399542,0.5786774244729666,0.5362965768109572,0.6456875363563839
cc_arousal__deviation__c0.3_b0.05,0.6269098202456033,0.6706595368687148,0.7028344228872525,0.6769474390752173,0.5739727616445953,0.5804715677482396,0.5359748571340945,0.647508156361108
cc_arousal__absolute__c0.03_b0.1,0.6269753521006391,0.6701215779836073,0.7009864347060503,0.6758819726757832,0.5748611567571887,0.5815481937587464,0.5375893165987221,0.6478388122243759
cc_recovery__absolute__c0.03_b0.05,0.6269765667943578,0.6728039180982165,0.7018350913181779,0.6761231763160391,0.5759395593970218,0.5792561872363062,0.5372379244117551,0.6456401107829869
cc_arousal__deviation__c0.1_b0.05,0.6269840534312694,0.6711526417931322,0.7026344793243788,0.6768429336907101,0.5743578034130736,0.5805107117413393,0.5360284961513819,0.6473613079048695
cc_arousal__deviation__c0.3_b0.2,0.6269903010404169,0.6657028713724175,0.69819183279503,0.6757122358556307,0.5716695613493824,0.5851040046714878,0.5425298957804177,0.6500217054585518
cc_arousal__deviation__c0.03_b0.1,0.6269913924427649,0.6708888450236833,0.7004915388358558,0.6758910080202607,0.5744124867798724,0.5815874482346167,0.5380053386527938,0.6476630815522713
cc_load__absolute__c0.1_b0.05,0.6269943695585434,0.6720562068717268,0.7037635211789646,0.6768361152859721,0.5759280877933821,0.5785707180224333,0.5366812587999277,0.6451246789573966
cc_load__absolute_plus_deviation__c0.3_b0.05,0.6270000380614721,0.6716269192355814,0.7045274423802312,0.6772842253304556,0.5754769603579394,0.5787710709906364,0.5363888156393707,0.6449248324960895
cc_arousal__absolute__c0.1_b0.05,0.6270062722408002,0.6707888081440122,0.702984240348725,0.6769858870701105,0.5745929160997196,0.5804948528819445,0.5357509051451959,0.6474462959958937
cc_load__absolute_plus_deviation__c0.1_b0.05,0.6270079984400302,0.6719017797190352,0.7039536184112505,0.6770710102126551,0.5757580249225971,0.5787885914954738,0.5363945285122995,0.6451884358068999
cc_arousal__absolute_plus_deviation__c0.1_b0.05,0.6270162441314726,0.6707080455935681,0.7036374598458941,0.6772606812356988,0.5738456438966767,0.5803339312656421,0.5355839420604965,0.6477440050223316
cc_arousal__absolute_plus_deviation__c0.3_b0.05,0.6270250177971759,0.6703350009052678,0.7042293114410152,0.6775691346344687,0.5734356231146218,0.5802541252282039,0.5353579291633397,0.6479940000933141
cc_recovery__absolute__c0.1_b0.2,0.6270508514354411,0.6734022492423406,0.6939297329020314,0.6719005771306934,0.5788699384540347,0.5808440352742226,0.5485582594571874,0.6418511675875781
