config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,stage,0.35,287,0.5675309246898171,0.567352362477945,-0.0001785622118721797
gk6_t1_sw0p5_pw0p25_lw8,gk6_t1,0.5,0.25,8.0,stage,0.25,287,0.5675309246898171,0.567353065858876,-0.00017785883094112442
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,stage,0.15,287,0.5675309246898171,0.5673530720505449,-0.00017785263927228012
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,core_q_s23,0.25,287,0.5675309246898171,0.5673564640207897,-0.00017446066902748747
gk6_t1_sw1_pw0p25_lw20,gk6_t1,1.0,0.25,20.0,stage,0.15,287,0.5675309246898171,0.5673596076815137,-0.00017131700830341767
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,stage,0.35,287,0.5675309246898171,0.5673606484868223,-0.0001702762029948124
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,stage,0.35,287,0.5675309246898171,0.5673609988462356,-0.00016992584358155316
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,core_q_s23,0.25,287,0.5675309246898171,0.5673653076671892,-0.00016561702262796185
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,core_q_s23,0.5,287,0.5675309246898171,0.5673686826140398,-0.00016224207577730798
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,core_q_s23,0.5,287,0.5675309246898171,0.5673690883951291,-0.00016183629468802252
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,stage,0.15,287,0.5675309246898171,0.5673715327325322,-0.00015939195728498223
