model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
extratrees300,sleep,176,50,chrono_last_30,0.6557025669038987,0.6523086749447948,0.6799236681213024,0.6457415807896124,0.5790240972766825,0.735772423197768,0.6407185476267571,0.6564289763703736
extratrees100,noflat_no_routine,520,500,chrono_last_20,0.6558045442577943,0.6911958653901905,0.6796101986956451,0.7356080675714792,0.548812711314958,0.6536813958867852,0.678296467085454,0.6034271038600487
extratrees100,sleep,176,50,chrono_last_30,0.656220723052441,0.650690750740682,0.6820836583408642,0.6485116868861842,0.5792380690051679,0.7407620877594043,0.6372656999588809,0.6549931086759029
extratrees100,semantic_v1,44,20,chrono_last_20,0.6562895309426302,0.6742695287937094,0.6876932950898577,0.6792791068882861,0.571184186311473,0.6663592754636433,0.6568228769873478,0.6584184470640936
extratrees100,noflat_no_routine,520,200,chrono_last_30,0.656990344516979,0.6724868123288145,0.683854681827672,0.6529859286903901,0.6051216048113852,0.6921969375460058,0.6375856003719493,0.6547008460426363
extratrees300,noflat_no_routine,520,100,chrono_last_30,0.6609432511564394,0.6765441573480035,0.6855055580923866,0.6507515541349711,0.6006751404300513,0.6787475890982957,0.6598621083941132,0.6745166505972542
extratrees300,sleep,176,50,chrono_last_25,0.6610020573188171,0.6789731725426866,0.6782708372101509,0.6856258175152472,0.5486751815155028,0.7095073410724086,0.6954940264672802,0.6304680249084437
extratrees300,sleep,176,100,chrono_last_30,0.6618213421632685,0.6643646898269642,0.7034543298781001,0.6447172276801286,0.575484699861567,0.7329419126775405,0.6548559640373063,0.6569305711812732
extratrees100,sleep,176,50,chrono_last_25,0.6623785752501087,0.6825064951142721,0.6786703896284234,0.6937535370162683,0.5469647476124713,0.7086059604900812,0.6946358077813072,0.6315130891079381
extratrees100,noflat_no_routine,520,100,chrono_last_30,0.6628505745937064,0.6747501335672937,0.6908418221483279,0.6551354094648459,0.5992628519364337,0.6765341258480683,0.6632872619964585,0.680142417194517
